Напряжение[B], Время[c]
0.2347,2.5439
0.2352,2.5293
0.2358,2.5342
0.2363,2.5391
0.2368,2.5391
0.2373,2.5439
0.2379,2.5391
0.2384,2.5342
0.2389,2.5391
0.2394,2.5391
0.2400,2.5342
0.2405,2.5342
0.2410,2.5439
0.2415,2.5439
0.2421,2.5439
0.2426,2.5439
0.2431,2.5391
0.2436,2.5342
0.2442,2.5439
0.2447,2.5439
0.2452,2.5391
0.2457,2.5439
0.2463,2.5391
0.2468,2.5342
0.2473,2.5391
0.2478,2.5293
0.2484,2.5439
0.2489,2.5439
0.2494,2.5439
0.2499,2.5439
0.2505,2.5391
0.2510,2.5439
0.2515,2.5391
0.2521,2.5439
0.2526,2.5439
0.2531,2.5439
0.2536,2.5391
0.2542,2.5391
0.2547,2.5342
0.2552,2.5439
0.2557,2.5439
0.2563,2.5391
0.2568,2.5391
0.2573,2.5391
0.2578,2.5391
0.2584,2.5391
0.2589,2.5293
0.2594,2.5439
0.2599,2.5439
0.2605,2.5391
0.2610,2.5439
0.2615,2.5391
0.2620,2.5439
0.2625,2.5439
0.2631,2.5342
0.2636,2.5439
0.2641,2.5342
0.2646,2.5342
0.2652,2.5439
0.2657,2.5439
0.2662,2.5439
0.2667,2.5391
0.2673,2.5488
0.2698,2.5439
0.2704,2.5439
0.2709,2.5439
0.2714,2.5439
0.2719,2.5439
0.2725,2.5439
0.2730,2.5391
0.2735,2.5439
0.2740,2.5439
0.2746,2.5439
0.2751,2.5391
0.2756,2.5439
0.2761,2.5391
0.2767,2.5439
0.2772,2.5439
0.2777,2.5391
0.2782,2.5439
0.2788,2.5391
0.2793,2.5439
0.2798,2.5391
0.2803,2.5391
0.2809,2.5391
0.2814,2.5391
0.2819,2.5439
0.2824,2.5391
0.2830,2.5391
0.2835,2.5391
0.2840,2.5439
0.2845,2.5439
0.2851,2.5439
0.2856,2.5293
0.2861,2.5391
0.2866,2.5391
0.2872,2.5439
0.2877,2.5439
0.2882,2.5439
0.2887,2.5391
0.2893,2.5439
0.2898,2.5439
0.2903,2.5488
0.2908,2.5439
0.2914,2.5439
0.2919,2.5391
0.2924,2.5293
0.2929,2.5439
0.2935,2.5439
0.2940,2.5391
0.2945,2.5391
0.2950,2.5391
0.2956,2.5439
0.2961,2.5439
0.2966,2.5439
0.2971,2.5439
0.2977,2.5391
0.2982,2.5439
0.2987,2.5391
0.2992,2.5342
0.2998,2.5439
0.3003,2.5439
0.3008,2.5391
0.3013,2.5391
0.3019,2.5439
0.3024,2.5439
0.3029,2.5439
0.3034,2.5439
0.3039,2.5391
0.3045,2.5342
0.3050,2.5439
0.3055,2.5439
0.3060,2.5391
0.3066,2.5293
0.3071,2.5391
0.3076,2.5439
0.3081,2.5439
0.3087,2.5391
0.3092,2.5391
0.3097,2.5439
0.3102,2.5439
0.3108,2.5391
0.3113,2.5391
0.3118,2.5439
