Напряжение[B], Время[c]
0.2480,2.0557
0.2486,2.0557
0.2491,2.0557
0.2497,2.0605
0.2503,2.0605
0.2508,2.0654
0.2514,2.0654
0.2519,2.0654
0.2525,2.0605
0.2530,2.0654
0.2536,2.0654
0.2541,2.0605
0.2547,2.0654
0.2553,2.0605
0.2559,2.0605
0.2564,2.0654
0.2570,2.0654
0.2575,2.0605
0.2580,2.0654
0.2586,2.0605
0.2591,2.0605
0.2596,2.0654
0.2601,2.0605
0.2606,2.0605
0.2612,2.0605
0.2617,2.0605
0.2622,2.0654
0.2627,2.0654
0.2633,2.0605
0.2638,2.0605
0.2644,2.0605
0.2649,2.0654
0.2655,2.0654
0.2660,2.0605
0.2666,2.0605
0.2671,2.0557
0.2677,2.0557
0.2682,2.0654
0.2688,2.0557
0.2693,2.0605
0.2699,2.0605
0.2705,2.0605
0.2710,2.0654
0.2716,2.0605
0.2721,2.0557
0.2727,2.0605
0.2733,2.0605
0.2738,2.0654
0.2743,2.0654
0.2749,2.0654
0.2754,2.0654
0.2759,2.0557
0.2764,2.0605
0.2770,2.0605
0.2775,2.0654
0.2781,2.0654
0.2786,2.0654
0.2792,2.0654
0.2798,2.0654
0.2806,2.0605
0.2812,2.0557
0.2818,2.0654
0.2824,2.0605
0.2830,2.0605
0.2836,2.0654
0.2842,2.0654
0.2847,2.0654
0.2853,2.0605
0.2859,2.0654
0.2865,2.0654
0.2871,2.0605
0.2876,2.0654
0.2882,2.0654
0.2887,2.0557
0.2893,2.0508
0.2899,2.0654
0.2905,2.0605
0.2910,2.0654
0.2915,2.0654
0.2921,2.0605
0.2926,2.0557
0.2931,2.0654
0.2936,2.0557
0.2942,2.0557
0.2947,2.0605
0.2952,2.0605
0.2958,2.0605
0.2963,2.0654
0.2968,2.0654
0.2974,2.0654
0.2979,2.0557
0.2985,2.0605
0.2990,2.0654
0.2996,2.0557
0.3002,2.0605
0.3007,2.0654
0.3013,2.0654
0.3018,2.0605
0.3024,2.0654
0.3030,2.0654
0.3036,2.0557
0.3041,2.0605
0.3046,2.0654
0.3051,2.0654
0.3057,2.0654
0.3062,2.0654
0.3067,2.0654
0.3072,2.0654
0.3078,2.0654
0.3083,2.0605
0.3088,2.0654
0.3093,2.0605
0.3099,2.0605
0.3104,2.0654
0.3109,2.0654
0.3114,2.0605
0.3120,2.0605
0.3125,2.0654
0.3130,2.0654
0.3135,2.0654
0.3141,2.0605
0.3146,2.0605
0.3151,2.0654
0.3156,2.0654
0.3162,2.0605
0.3167,2.0557
0.3172,2.0605
0.3177,2.0605
0.3182,2.0654
0.3188,2.0605
0.3193,2.0605
0.3198,2.0557
0.3203,2.0605
0.3209,2.0654
0.3214,2.0605
0.3219,2.0605
0.3224,2.0605
0.3230,2.0654
0.3235,2.0654
0.3240,2.0605
0.3245,2.0654
0.3250,2.0605
0.3256,2.0654
0.3261,2.0654
0.3266,2.0654
0.3271,2.0654
0.3277,2.0654
0.3282,2.0654
0.3287,2.0654
0.3293,2.0654
0.3298,2.0605
0.3304,2.0654
0.3309,2.0605
0.3315,2.0605
0.3321,2.0654
0.3326,2.0654
0.3332,2.0654
0.3337,2.0654
0.3343,2.0654
0.3349,2.0654
0.3354,2.0654
0.3360,2.0557
0.3365,2.0605
0.3370,2.0654
0.3375,2.0605
0.3381,2.0605
0.3386,2.0654
0.3391,2.0557
0.3396,2.0605
0.3402,2.0654
0.3407,2.0605
0.3412,2.0654
0.3418,2.0557
0.3423,2.0654
0.3428,2.0605
0.3433,2.0654
0.3438,2.0654
0.3444,2.0605
0.3449,2.0654
0.3454,2.0654
0.3459,2.0605
0.3465,2.0654
0.3470,2.0605
0.3475,2.0605
0.3480,2.0605
0.3486,2.0605
0.3491,2.0654
0.3496,2.0605
0.3501,2.0654
0.3507,2.0654
0.3512,2.0654
0.3517,2.0605
0.3522,2.0654
0.3527,2.0557
0.3533,2.0605
0.3538,2.0654
0.3543,2.0654
0.3548,2.0654
0.3554,2.0605
0.3559,2.0605
0.3564,2.0605
0.3569,2.0605
0.3575,2.0605
0.3580,2.0557
0.3585,2.0605
0.3590,2.0654
0.3595,2.0605
0.3601,2.0605
0.3606,2.0605
0.3611,2.0605
0.3616,2.0654
0.3622,2.0654
0.3627,2.0605
0.3632,2.0605
0.3637,2.0654
0.3643,2.0605
0.3648,2.0605
0.3653,2.0654
0.3658,2.0605
0.3663,2.0654
0.3669,2.0654
0.3674,2.0654
0.3679,2.0605
0.3684,2.0605
0.3689,2.0557
0.3695,2.0605
0.3700,2.0654
0.3705,2.0508
0.3711,2.0557
0.3716,2.0557
0.3721,2.0605
0.3727,2.0605
0.3732,2.0605
0.3737,2.0605
0.3742,2.0605
0.3747,2.0605
0.3753,2.0654
0.3758,2.0605
0.3763,2.0605
0.3768,2.0605
0.3774,2.0605
0.3779,2.0654
0.3784,2.0605
0.3789,2.0654
0.3795,2.0654
0.3800,2.0557
0.3805,2.0654
0.3810,2.0605
0.3815,2.0654
0.3821,2.0654
0.3826,2.0654
0.3831,2.0605
0.3836,2.0654
0.3842,2.0654
0.3847,2.0605
0.3852,2.0654
0.3857,2.0605
0.3863,2.0605
0.3868,2.0654
0.3873,2.0605
0.3878,2.0654
0.3883,2.0605
0.3889,2.0605
0.3894,2.0654
0.3899,2.0654
0.3904,2.0654
0.3910,2.0508
0.3915,2.0605
0.3920,2.0654
0.3925,2.0605
0.3931,2.0605
0.3936,2.0654
0.3941,2.0654
0.3946,2.0654
0.3952,2.0605
0.3957,2.0605
0.3962,2.0654
0.3967,2.0605
0.3972,2.0605
0.3978,2.0654
0.3983,2.0605
0.3988,2.0605
0.3993,2.0654
0.3999,2.0605
0.4004,2.0654
0.4009,2.0654
0.4014,2.0605
0.4020,2.0557
0.4025,2.0605
0.4030,2.0654
0.4035,2.0654
0.4040,2.0605
0.4046,2.0654
0.4051,2.0605
0.4056,2.0654
0.4061,2.0654
0.4067,2.0654
0.4072,2.0654
0.4077,2.0557
0.4082,2.0605
0.4088,2.0605
0.4093,2.0605
0.4098,2.0654
0.4103,2.0654
0.4108,2.0654
0.4114,2.0557
0.4119,2.0557
0.4124,2.0605
0.4129,2.0605
0.4135,2.0605
0.4140,2.0654
0.4145,2.0654
0.4150,2.0557
0.4156,2.0654
0.4161,2.0654
