Время[c], Напряжение[B]
0.3479,2.5586
0.3484,2.5537
0.3489,2.5635
0.3495,2.5586
0.3500,2.5488
0.3505,2.5635
0.3510,2.5586
0.3516,2.5635
0.3521,2.5635
0.3526,2.5635
0.3531,2.5586
0.3537,2.5635
0.3542,2.5635
0.3547,2.5586
0.3552,2.5635
0.3558,2.5586
0.3563,2.5537
0.3568,2.5586
0.3573,2.5586
0.3579,2.5635
0.3584,2.5635
0.3589,2.5635
0.3594,2.5586
0.3599,2.5635
0.3605,2.5635
0.3610,2.5586
0.3615,2.5635
0.3621,2.5586
0.3627,2.5635
0.3632,2.5635
0.3638,2.5488
0.3643,2.5537
0.3649,2.5635
0.3654,2.5635
0.3660,2.5488
0.3665,2.5586
0.3670,2.5586
0.3676,2.5586
0.3681,2.5635
0.3686,2.5586
0.3691,2.5586
0.3697,2.5586
0.3702,2.5586
0.3707,2.5586
0.3712,2.5635
0.3718,2.5635
0.3723,2.5586
0.3728,2.5586
0.3734,2.5586
0.3739,2.5586
0.3744,2.5537
0.3749,2.5586
0.3755,2.5586
0.3760,2.5586
0.3765,2.5586
0.3770,2.5586
0.3775,2.5586
0.3781,2.5635
0.3786,2.5537
0.3791,2.5586
0.3796,2.5635
0.3802,2.5586
0.3807,2.5635
0.3812,2.5586
0.3817,2.5635
0.3823,2.5537
0.3828,2.5488
0.3833,2.5537
0.3838,2.5635
0.3844,2.5537
0.3849,2.5586
0.3854,2.5635
0.3860,2.5537
0.3865,2.5586
0.3870,2.5586
0.3875,2.5635
0.3881,2.5586
0.3886,2.5586
0.3891,2.5635
0.3896,2.5586
0.3901,2.5586
0.3907,2.5635
0.3912,2.5586
0.3917,2.5635
0.3922,2.5586
0.3928,2.5537
0.3933,2.5488
0.3938,2.5537
0.3944,2.5635
0.3949,2.5586
0.3954,2.5537
0.3959,2.5635
0.3965,2.5635
0.3970,2.5586
0.3975,2.5586
0.3980,2.5635
0.3986,2.5537
0.3991,2.5488
0.3996,2.5537
0.4001,2.5586
0.4007,2.5537
0.4012,2.5635
0.4017,2.5635
0.4022,2.5635
0.4028,2.5635
0.4033,2.5586
0.4038,2.5635
0.4043,2.5586
0.4049,2.5586
0.4054,2.5537
0.4059,2.5586
0.4064,2.5586
0.4070,2.5586
0.4075,2.5586
0.4080,2.5586
0.4085,2.5635
0.4091,2.5635
0.4096,2.5537
0.4101,2.5537
0.4106,2.5537
0.4112,2.5635
0.4117,2.5488
0.4122,2.5586
0.4127,2.5635
0.4133,2.5537
0.4138,2.5635
0.4143,2.5586
0.4148,2.5635
0.4153,2.5586
0.4159,2.5586
0.4164,2.5488
0.4169,2.5635
0.4175,2.5635
0.4180,2.5635
0.4185,2.5635
0.4190,2.5635
0.4196,2.5635
0.4201,2.5635
0.4206,2.5635
0.4211,2.5635
0.4217,2.5586
0.4222,2.5537
0.4227,2.5586
0.4232,2.5586
0.4238,2.5586
0.4243,2.5586
0.4248,2.5586
0.4253,2.5586
0.4259,2.5586
0.4264,2.5586
0.4269,2.5635
0.4274,2.5635
0.4280,2.5586
0.4285,2.5586
0.4290,2.5537
0.4295,2.5537
0.4300,2.5586
0.4306,2.5537
0.4311,2.5488
0.4316,2.5586
0.4321,2.5586
0.4327,2.5635
0.4332,2.5537
0.4337,2.5586
0.4342,2.5586
0.4348,2.5488
0.4353,2.5586
0.4358,2.5488
0.4363,2.5488
0.4369,2.5537
0.4374,2.5635
0.4379,2.5586
0.4384,2.5586
0.4390,2.5586
0.4395,2.5537
0.4400,2.5586
0.4405,2.5586
0.4411,2.5537
0.4416,2.5537
0.4421,2.5586
0.4426,2.5537
0.4432,2.5488
0.4437,2.5537
0.4442,2.5635
0.4447,2.5586
0.4453,2.5635
0.4458,2.5635
0.4463,2.5586
0.4468,2.5635
0.4474,2.5586
0.4479,2.5635
0.4484,2.5586
0.4489,2.5537
0.4494,2.5586
0.4500,2.5537
0.4505,2.5586
0.4510,2.5586
0.4515,2.5586
0.4521,2.5586
0.4526,2.5586
0.4531,2.5635
0.4536,2.5537
0.4542,2.5537
0.4547,2.5537
0.4552,2.5635
0.4557,2.5488
0.4563,2.5586
0.4568,2.5586
0.4573,2.5586
0.4578,2.5635
0.4584,2.5586
0.4589,2.5635
0.4594,2.5586
0.4599,2.5635
0.4605,2.5537
0.4610,2.5586
0.4615,2.5586
0.4620,2.5586
0.4626,2.5586
0.4631,2.5586
0.4636,2.5586
0.4641,2.5586
0.4647,2.5586
0.4652,2.5586
0.4657,2.5635
0.4662,2.5586
0.4668,2.5586
0.4673,2.5586
0.4678,2.5586
0.4683,2.5586
0.4689,2.5586
0.4694,2.5635
0.4699,2.5586
0.4704,2.5635
0.4709,2.5635
0.4715,2.5586
0.4720,2.5586
0.4725,2.5586
0.4730,2.5635
0.4736,2.5537
0.4741,2.5586
0.4746,2.5586
0.4751,2.5586
0.4757,2.5586
0.4762,2.5635
0.4767,2.5635
0.4773,2.5586
0.4778,2.5586
