Напряжение[B], Время[c]
0.3451,1.5967
0.3456,1.5967
0.3461,1.5967
0.3466,1.5967
0.3471,1.5967
0.3477,1.5967
0.3482,1.5967
0.3487,1.5967
0.3492,1.5967
0.3498,1.5967
0.3503,1.5967
0.3508,1.5967
0.3513,1.5967
0.3519,1.5967
0.3524,1.5967
0.3529,1.5918
0.3534,1.5918
0.3539,1.5918
0.3545,1.5967
0.3550,1.5967
0.3555,1.6016
0.3560,1.5967
0.3566,1.5918
0.3571,1.5967
0.3576,1.5918
0.3581,1.5967
0.3587,1.5967
0.3592,1.5967
0.3597,1.5967
0.3602,1.5967
0.3607,1.5918
0.3613,1.5918
0.3618,1.5967
0.3623,1.5918
0.3628,1.5918
0.3634,1.5918
0.3639,1.5967
0.3644,1.5967
0.3649,1.5967
0.3654,1.5967
0.3660,1.5967
0.3665,1.5918
0.3670,1.5967
0.3675,1.5967
0.3681,1.5967
0.3686,1.5967
0.3691,1.5967
0.3696,1.5967
0.3702,1.5967
0.3707,1.5967
0.3712,1.5967
0.3717,1.5918
0.3722,1.5967
0.3728,1.5967
0.3733,1.5967
0.3738,1.5967
0.3743,1.5967
0.3749,1.5967
0.3754,1.5967
0.3759,1.5967
0.3764,1.5967
0.3769,1.5967
0.3775,1.5967
0.3780,1.5967
0.3785,1.5967
0.3790,1.5967
0.3796,1.5967
0.3801,1.5918
0.3806,1.5967
0.3811,1.5967
0.3817,1.5967
0.3822,1.5967
0.3827,1.5967
0.3832,1.5918
0.3838,1.6016
0.3843,1.5967
0.3848,1.5967
0.3853,1.5967
0.3858,1.5967
0.3864,1.5967
0.3869,1.6016
0.3874,1.5967
0.3879,1.5918
0.3885,1.5967
0.3890,1.5967
0.3895,1.5967
0.3900,1.5967
0.3906,1.5967
0.3911,1.5918
0.3916,1.5967
0.3921,1.5967
0.3926,1.5967
0.3932,1.5967
0.3937,1.5967
0.3942,1.5918
0.3947,1.5967
0.3953,1.5967
0.3958,1.5967
0.3963,1.5967
0.3968,1.5967
0.3973,1.5967
0.3979,1.5967
0.3984,1.5967
0.3989,1.5967
0.3994,1.5918
0.4000,1.5967
0.4005,1.5967
0.4010,1.5967
0.4015,1.5967
0.4021,1.5967
0.4026,1.5967
0.4031,1.5967
0.4036,1.5967
0.4041,1.5967
0.4047,1.5918
0.4052,1.5967
0.4057,1.5967
0.4062,1.5967
0.4068,1.5967
0.4073,1.5967
0.4078,1.5967
0.4083,1.5967
0.4089,1.5967
0.4094,1.5967
0.4099,1.5869
0.4104,1.5967
0.4109,1.5967
0.4115,1.5967
0.4120,1.5967
0.4125,1.5967
0.4130,1.5967
0.4136,1.5967
0.4141,1.6016
0.4146,1.5967
0.4151,1.5918
0.4156,1.5967
0.4162,1.5967
0.4167,1.5967
0.4172,1.5918
0.4178,1.5967
0.4183,1.5918
0.4188,1.5918
0.4193,1.5967
0.4198,1.5967
0.4204,1.5967
0.4209,1.5967
0.4214,1.5918
0.4219,1.5918
0.4225,1.6016
0.4230,1.5967
0.4235,1.5967
0.4240,1.5967
0.4246,1.6016
0.4251,1.5967
0.4256,1.5967
0.4261,1.5967
0.4267,1.6016
0.4272,1.5967
0.4277,1.5967
0.4282,1.5967
0.4288,1.5967
0.4293,1.6016
0.4298,1.6016
0.4304,1.6016
0.4309,1.5967
0.4314,1.5967
0.4320,1.5967
0.4325,1.5967
0.4330,1.5967
0.4335,1.5967
0.4341,1.5918
0.4346,1.5918
0.4351,1.5918
0.4356,1.5918
0.4362,1.6016
0.4368,1.5967
0.4373,1.5967
0.4379,1.5918
0.4384,1.5967
0.4389,1.5967
0.4395,1.5967
0.4400,1.5967
0.4405,1.5918
0.4411,1.5967
0.4417,1.5918
0.4422,1.5967
0.4427,1.5967
0.4433,1.5918
0.4438,1.5918
0.4443,1.5967
0.4448,1.5967
0.4454,1.6016
0.4459,1.5967
0.4464,1.5967
0.4470,1.5967
0.4475,1.5967
0.4480,1.5918
0.4485,1.5967
0.4491,1.5967
0.4496,1.5967
0.4501,1.5918
0.4506,1.5918
0.4512,1.5967
0.4517,1.5967
0.4522,1.5967
0.4527,1.5967
0.4533,1.5967
0.4538,1.5967
0.4544,1.5918
0.4549,1.6016
0.4555,1.5967
0.4560,1.5967
0.4565,1.6016
0.4571,1.5967
0.4576,1.5967
0.4581,1.5967
0.4586,1.5918
0.4592,1.5967
0.4597,1.5967
0.4602,1.5918
0.4608,1.5967
0.4613,1.5967
0.4618,1.5967
0.4623,1.5967
0.4629,1.5967
0.4634,1.6016
0.4639,1.5967
0.4644,1.5967
0.4650,1.5967
0.4655,1.5918
0.4660,1.5967
0.4665,1.5967
0.4670,1.5918
0.4676,1.5967
0.4681,1.5967
0.4686,1.5967
0.4691,1.5967
0.4697,1.5967
0.4702,1.5967
0.4707,1.5967
0.4713,1.5918
0.4718,1.5918
0.4723,1.5967
0.4728,1.5967
0.4734,1.5918
0.4739,1.5918
0.4751,1.5967
0.4757,1.5967
0.4762,1.6016
0.4767,1.5918
0.4772,1.5918
0.4778,1.6016
0.4783,1.5967
0.4788,1.5967
0.4793,1.5869
0.4799,1.5918
0.4804,1.5967
0.4809,1.5967
0.4815,1.5967
0.4820,1.5967
0.4825,1.5967
0.4830,1.5967
0.4836,1.5918
0.4841,1.5967
0.4846,1.5967
0.4852,1.6016
0.4857,1.5967
0.4862,1.5967
0.4868,1.5967
0.4873,1.5967
0.4878,1.5918
0.4884,1.5918
0.4889,1.6016
0.4894,1.5967
0.4899,1.5918
0.4905,1.5967
0.4910,1.5967
0.4915,1.5918
0.4920,1.5967
0.4926,1.5918
0.4931,1.5967
0.4936,1.5967
0.4941,1.6016
0.4947,1.5918
0.4952,1.6016
0.4957,1.5967
0.4963,1.5967
0.4968,1.5967
0.4973,1.5967
0.4978,1.5967
0.4983,1.6016
0.4989,1.5967
0.4994,1.5967
0.5000,1.6016
0.5005,1.5967
0.5011,1.5967
0.5016,1.5967
0.5022,1.5967
0.5027,1.5918
0.5032,1.5918
0.5038,1.5918
0.5043,1.5967
0.5048,1.5918
0.5054,1.5967
0.5059,1.5967
0.5073,1.5967
0.5078,1.5967
0.5084,1.5918
0.5089,1.5918
0.5094,1.5918
0.5099,1.5918
0.5105,1.5967
0.5110,1.5918
0.5115,1.5967
0.5121,1.5918
0.5134,1.5967
0.5140,1.5967
0.5145,1.5967
0.5150,1.5967
0.5156,1.6016
0.5161,1.5918
0.5177,1.5967
0.5182,1.5967
0.5188,1.5967
0.5193,1.5967
0.5198,1.5967
0.5204,1.5967
0.5213,1.5967
0.5218,1.5918
0.5223,1.5967
0.5229,1.5918
0.5234,1.5967
0.5239,1.5967
0.5244,1.5918
0.5249,1.5918
0.5255,1.5967
0.5260,1.5967
0.5265,1.5967
0.5270,1.5967
0.5276,1.6016
0.5281,1.5967
0.5286,1.5918
0.5291,1.5918
0.5297,1.5967
0.5302,1.5967
0.5307,1.5967
0.5312,1.5967
0.5318,1.6016
0.5323,1.5967
0.5328,1.5967
0.5333,1.5967
0.5339,1.5967
0.5344,1.5967
0.5349,1.5967
0.5354,1.5967
0.5360,1.5967
0.5365,1.5967
0.5370,1.5967
0.5375,1.5918
0.5380,1.5967
0.5386,1.5967
0.5391,1.5918
0.5396,1.6016
0.5401,1.5967
0.5407,1.5967
0.5412,1.5967
0.5417,1.5967
0.5422,1.5918
0.5428,1.5918
0.5433,1.5967
0.5438,1.5967
0.5443,1.5967
0.5449,1.5918
0.5454,1.5967
0.5459,1.5967
0.5464,1.5967
0.5469,1.6016
0.5475,1.5967
0.5480,1.5967
0.5485,1.5918
0.5490,1.5967
0.5496,1.5967
0.5501,1.5967
0.5506,1.5967
0.5511,1.5967
0.5516,1.5967
0.5522,1.5967
0.5527,1.5967
0.5532,1.5918
0.5537,1.5918
0.5543,1.5967
0.5548,1.5967
0.5553,1.6016
0.5558,1.6016
0.5564,1.6016
0.5569,1.5967
0.5574,1.5967
0.5579,1.6016
0.5585,1.5967
0.5590,1.5967
0.5595,1.5967
0.5600,1.5918
