Время[c], Напряжение[B]
0.5122,3.3105
0.5127,3.3105
0.5132,3.3203
0.5138,3.3203
0.5143,3.3203
0.5148,3.3203
0.5153,3.3252
0.5159,3.3203
0.5164,3.3154
0.5169,3.3105
0.5174,3.3203
0.5180,3.3203
0.5185,3.3252
0.5190,3.3252
0.5195,3.3203
0.5200,3.3203
0.5206,3.3154
0.5211,3.3057
0.5216,3.3105
0.5221,3.3203
0.5227,3.3252
0.5232,3.3203
0.5237,3.3154
0.5242,3.3252
0.5248,3.3203
0.5253,3.3203
0.5258,3.3203
0.5264,3.3203
0.5269,3.3203
0.5274,3.3203
0.5279,3.3252
0.5285,3.3154
0.5290,3.3203
0.5295,3.3203
0.5300,3.3105
0.5306,3.3105
0.5311,3.3057
0.5316,3.3105
0.5321,3.3105
0.5327,3.3057
0.5332,3.3203
0.5337,3.3203
0.5342,3.3252
0.5348,3.3203
0.5353,3.3203
0.5358,3.3252
0.5364,3.3105
0.5369,3.3203
0.5374,3.3252
0.5379,3.3203
0.5384,3.3252
0.5390,3.3154
0.5395,3.3057
0.5400,3.3105
0.5406,3.3154
0.5411,3.3057
0.5416,3.3105
0.5422,3.3057
0.5427,3.3154
0.5432,3.3154
0.5438,3.3154
0.5443,3.3105
0.5448,3.3057
0.5453,3.3154
0.5459,3.3252
0.5464,3.3203
0.5469,3.3057
0.5474,3.3105
0.5480,3.3203
0.5485,3.3203
0.5497,3.3252
0.5503,3.3154
0.5508,3.3203
0.5513,3.3203
0.5519,3.3105
0.5524,3.3008
0.5529,3.3105
0.5534,3.3203
0.5540,3.3203
0.5545,3.3203
0.5551,3.3105
0.5556,3.3203
0.5561,3.3203
0.5567,3.3203
0.5572,3.3203
0.5577,3.3203
0.5583,3.3203
0.5588,3.3203
0.5593,3.3203
0.5599,3.3203
0.5604,3.3203
0.5609,3.3203
0.5615,3.3203
0.5620,3.3203
0.5634,3.3252
0.5640,3.3252
0.5645,3.3203
0.5651,3.3154
0.5656,3.3203
0.5661,3.3203
0.5667,3.3203
0.5672,3.3203
0.5677,3.3154
0.5683,3.3252
0.5688,3.3203
0.5693,3.3105
0.5699,3.3154
0.5704,3.3203
0.5709,3.3203
0.5715,3.3154
0.5720,3.3203
0.5725,3.3252
0.5731,3.3203
0.5736,3.3203
0.5741,3.3105
0.5747,3.3203
0.5752,3.3203
0.5758,3.3105
0.5763,3.3057
0.5768,3.3203
0.5774,3.3203
0.5779,3.3203
0.5784,3.3252
0.5790,3.3105
0.5795,3.3203
0.5800,3.3203
0.5805,3.3203
0.5811,3.3203
0.5816,3.3203
0.5821,3.3252
0.5826,3.3154
0.5831,3.3105
0.5837,3.3203
0.5842,3.3203
0.5847,3.3057
0.5852,3.3203
0.5857,3.3203
0.5863,3.3203
0.5868,3.3154
0.5873,3.3154
0.5878,3.3203
0.5884,3.3203
0.5889,3.3203
0.5894,3.3203
0.5899,3.3203
0.5904,3.3105
0.5910,3.3203
0.5915,3.3252
0.5920,3.3252
0.5925,3.3154
0.5931,3.3203
0.5936,3.3154
0.5941,3.3105
0.5946,3.3057
0.5951,3.3057
0.5957,3.3154
0.5962,3.3203
0.5967,3.3203
0.5972,3.3154
0.5978,3.3203
0.5983,3.3203
0.5988,3.3203
0.5993,3.3203
0.5998,3.3203
0.6004,3.3154
0.6009,3.3154
0.6014,3.3203
0.6019,3.3203
0.6024,3.3154
0.6030,3.3105
0.6035,3.3154
0.6040,3.3105
0.6045,3.3105
0.6051,3.3105
0.6056,3.3105
0.6061,3.3105
0.6066,3.3203
0.6071,3.3105
0.6077,3.3154
0.6082,3.3203
0.6087,3.3057
0.6092,3.3057
0.6097,3.3203
0.6103,3.3105
0.6108,3.3105
0.6113,3.3154
0.6118,3.3203
0.6124,3.3203
0.6129,3.3105
0.6134,3.3154
0.6139,3.3154
0.6144,3.3203
0.6150,3.3252
0.6155,3.3203
0.6160,3.3203
0.6165,3.3203
0.6170,3.3203
0.6176,3.3203
0.6181,3.3203
0.6186,3.3203
0.6191,3.3105
0.6197,3.3203
0.6202,3.3203
0.6207,3.3203
0.6212,3.3203
0.6217,3.3154
0.6223,3.3154
0.6228,3.3105
0.6233,3.3154
0.6238,3.3154
0.6244,3.3154
0.6249,3.3105
0.6254,3.3154
0.6259,3.3203
0.6264,3.3203
0.6270,3.3154
0.6275,3.3105
0.6280,3.3154
0.6285,3.3154
0.6291,3.3154
0.6296,3.3203
0.6301,3.3203
0.6307,3.3154
0.6312,3.3105
0.6317,3.3105
0.6323,3.3203
0.6328,3.3203
0.6333,3.3203
0.6338,3.3203
0.6344,3.3203
0.6349,3.3105
0.6354,3.3105
0.6359,3.3154
0.6364,3.3154
0.6370,3.3154
0.6375,3.3154
0.6380,3.3203
0.6385,3.3203
0.6390,3.3203
0.6396,3.3203
0.6401,3.3154
0.6406,3.3154
0.6411,3.3105
0.6417,3.3203
0.6422,3.3203
0.6427,3.3105
0.6432,3.3057
0.6437,3.3203
0.6443,3.3154
0.6448,3.3203
0.6453,3.3203
0.6458,3.3057
0.6463,3.3154
0.6469,3.3105
0.6474,3.3154
0.6479,3.3203
0.6484,3.3203
0.6489,3.3154
0.6495,3.3203
0.6500,3.3154
0.6505,3.3154
0.6510,3.3154
0.6516,3.3203
0.6521,3.3203
0.6526,3.3203
0.6531,3.3203
0.6536,3.3203
0.6542,3.3203
0.6547,3.3203
0.6552,3.3203
0.6557,3.3154
0.6562,3.3203
0.6568,3.3203
0.6573,3.3105
0.6578,3.3154
0.6583,3.3203
0.6589,3.3154
0.6594,3.3154
0.6599,3.3105
0.6604,3.3057
0.6609,3.3105
0.6615,3.3203
0.6620,3.3105
0.6625,3.3105
0.6630,3.3057
0.6635,3.3154
0.6641,3.3154
0.6646,3.3203
0.6651,3.3154
0.6656,3.3154
0.6662,3.3154
0.6667,3.3154
0.6672,3.3154
0.6677,3.3203
0.6682,3.3154
0.6688,3.3154
0.6693,3.3057
0.6698,3.3105
0.6703,3.3154
0.6708,3.3203
0.6714,3.3154
0.6719,3.3154
0.6724,3.3203
0.6729,3.3154
0.6735,3.3154
0.6740,3.3203
0.6745,3.3154
0.6750,3.3203
0.6755,3.3154
0.6761,3.3154
0.6766,3.3154
0.6771,3.3105
0.6776,3.3105
0.6782,3.3203
0.6787,3.3154
0.6792,3.3203
0.6797,3.3203
0.6802,3.3154
0.6808,3.3154
0.6813,3.3154
0.6818,3.3105
0.6823,3.3154
0.6829,3.3057
0.6834,3.3154
0.6839,3.3105
0.6844,3.3154
0.6849,3.3203
0.6855,3.3203
0.6860,3.3203
0.6865,3.3154
0.6870,3.3203
0.6876,3.3203
0.6881,3.3154
0.6886,3.3203
0.6891,3.3154
0.6897,3.3105
0.6902,3.3203
0.6907,3.3203
0.6912,3.3154
0.6918,3.3154
0.6923,3.3203
0.6928,3.3057
0.6933,3.3105
0.6939,3.3105
0.6944,3.3154
0.6949,3.3105
0.6954,3.3203
0.6959,3.3252
0.6965,3.3154
0.6970,3.3154
0.6975,3.3203
0.6980,3.3203
0.6986,3.3203
0.6991,3.3154
0.6996,3.3154
0.7001,3.3203
0.7007,3.3203
0.7012,3.3203
0.7017,3.3154
0.7022,3.3154
0.7027,3.3203
0.7033,3.3203
0.7038,3.3105
0.7043,3.3057
0.7048,3.3203
0.7054,3.3203
0.7059,3.3154
0.7064,3.3203
0.7069,3.3203
0.7075,3.3154
0.7080,3.3154
0.7085,3.3203
0.7090,3.3154
0.7095,3.3105
0.7101,3.3154
0.7106,3.3203
0.7111,3.3203
0.7116,3.3203
0.7122,3.3154
0.7127,3.3154
0.7132,3.3203
0.7137,3.3203
0.7143,3.3154
0.7148,3.3105
0.7153,3.3154
0.7158,3.3203
0.7163,3.3203
0.7169,3.3203
0.7174,3.3105
0.7179,3.3105
0.7184,3.3154
0.7190,3.3154
0.7195,3.3154
0.7200,3.3203
0.7205,3.3154
0.7211,3.3057
0.7216,3.3105
0.7221,3.3154
0.7226,3.3154
0.7231,3.3154
0.7237,3.3154
0.7242,3.3105
0.7247,3.3057
0.7252,3.3154
0.7258,3.3105
0.7263,3.3154
0.7268,3.3105
0.7273,3.3203
0.7278,3.3105
0.7284,3.3154
0.7289,3.3154
0.7294,3.3203
0.7299,3.3203
0.7305,3.3203
0.7310,3.3154
0.7315,3.3203
0.7320,3.3154
0.7326,3.3154
0.7331,3.3203
0.7336,3.3105
0.7341,3.3105
0.7346,3.3105
0.7352,3.3105
0.7357,3.3154
0.7362,3.3105
0.7367,3.3105
0.7373,3.3154
0.7378,3.3154
0.7383,3.3105
0.7388,3.3203
