Время[c], Напряжение[B]
0.2444,2.5586
0.2449,2.5635
0.2455,2.5635
0.2460,2.5635
0.2465,2.5635
0.2470,2.5537
0.2476,2.5635
0.2481,2.5635
0.2486,2.5635
0.2491,2.5586
0.2496,2.5635
0.2502,2.5586
0.2507,2.5586
0.2512,2.5635
0.2517,2.5586
0.2523,2.5635
0.2528,2.5537
0.2533,2.5586
0.2538,2.5635
0.2543,2.5635
0.2549,2.5586
0.2554,2.5586
0.2559,2.5635
0.2564,2.5586
0.2570,2.5635
0.2575,2.5635
0.2580,2.5586
0.2585,2.5635
0.2590,2.5684
0.2596,2.5635
0.2601,2.5537
0.2606,2.5586
0.2611,2.5586
0.2617,2.5586
0.2622,2.5635
0.2627,2.5684
0.2632,2.5586
0.2637,2.5635
0.2643,2.5537
0.2648,2.5586
0.2653,2.5635
0.2658,2.5537
0.2664,2.5537
0.2669,2.5537
0.2674,2.5635
0.2679,2.5635
0.2685,2.5635
0.2690,2.5586
0.2695,2.5586
0.2700,2.5586
0.2705,2.5586
0.2711,2.5537
0.2716,2.5586
0.2721,2.5635
0.2726,2.5586
0.2732,2.5635
0.2737,2.5586
0.2742,2.5586
0.2747,2.5635
0.2752,2.5586
0.2758,2.5537
0.2763,2.5586
0.2768,2.5586
0.2773,2.5635
0.2779,2.5635
0.2784,2.5635
0.2789,2.5635
0.2794,2.5537
0.2800,2.5635
0.2805,2.5635
0.2810,2.5537
0.2815,2.5537
0.2820,2.5488
0.2826,2.5635
0.2831,2.5537
0.2836,2.5537
0.2841,2.5635
0.2847,2.5635
0.2852,2.5635
0.2857,2.5586
0.2862,2.5635
0.2868,2.5586
0.2873,2.5586
0.2878,2.5586
0.2883,2.5586
0.2888,2.5586
0.2894,2.5635
0.2899,2.5684
0.2904,2.5586
0.2909,2.5488
0.2915,2.5635
0.2920,2.5586
0.2925,2.5635
0.2930,2.5635
0.2936,2.5586
0.2941,2.5586
0.2946,2.5488
0.2951,2.5635
0.2956,2.5635
0.2962,2.5635
0.2967,2.5635
0.2972,2.5537
0.2977,2.5586
0.2983,2.5488
0.2988,2.5586
0.2993,2.5635
0.2998,2.5635
0.3003,2.5586
0.3009,2.5635
0.3014,2.5635
0.3019,2.5537
0.3024,2.5635
0.3030,2.5586
0.3035,2.5586
0.3040,2.5586
0.3045,2.5635
0.3050,2.5635
0.3056,2.5635
0.3061,2.5635
0.3066,2.5635
0.3071,2.5537
0.3077,2.5586
0.3082,2.5635
0.3087,2.5537
0.3092,2.5537
0.3098,2.5586
0.3103,2.5635
0.3108,2.5635
0.3113,2.5635
0.3118,2.5635
0.3124,2.5586
0.3129,2.5488
0.3134,2.5635
0.3139,2.5586
0.3145,2.5684
0.3150,2.5635
0.3155,2.5635
0.3160,2.5635
0.3166,2.5635
0.3177,2.5635
0.3183,2.5635
0.3189,2.5586
0.3194,2.5684
0.3200,2.5635
0.3206,2.5537
0.3211,2.5635
0.3216,2.5635
0.3221,2.5635
0.3227,2.5635
0.3232,2.5635
0.3237,2.5586
0.3242,2.5635
0.3248,2.5635
0.3253,2.5635
0.3258,2.5635
0.3263,2.5635
0.3269,2.5586
0.3274,2.5586
0.3279,2.5635
0.3284,2.5635
0.3290,2.5635
0.3295,2.5635
0.3300,2.5586
0.3305,2.5635
0.3311,2.5635
0.3316,2.5635
0.3321,2.5635
0.3326,2.5635
0.3332,2.5635
0.3337,2.5586
0.3342,2.5635
0.3347,2.5635
0.3353,2.5684
0.3358,2.5635
0.3363,2.5635
0.3368,2.5586
0.3373,2.5537
0.3379,2.5635
0.3384,2.5684
0.3389,2.5635
0.3394,2.5684
0.3400,2.5635
0.3405,2.5586
0.3410,2.5635
0.3415,2.5586
0.3421,2.5635
0.3427,2.5586
0.3432,2.5635
0.3438,2.5684
0.3444,2.5586
0.3449,2.5635
0.3455,2.5684
0.3461,2.5635
0.3467,2.5684
0.3473,2.5635
0.3479,2.5635
0.3484,2.5635
0.3490,2.5586
0.3496,2.5684
0.3502,2.5635
0.3508,2.5635
0.3513,2.5684
0.3519,2.5635
0.3524,2.5684
0.3530,2.5537
0.3535,2.5635
0.3540,2.5635
0.3545,2.5586
0.3550,2.5586
0.3556,2.5635
0.3561,2.5684
0.3566,2.5684
0.3572,2.5635
0.3577,2.5635
0.3582,2.5586
0.3588,2.5635
0.3593,2.5635
0.3598,2.5537
0.3604,2.5635
0.3609,2.5586
0.3614,2.5586
0.3620,2.5684
0.3625,2.5635
0.3630,2.5635
0.3636,2.5635
