Время[c], Напряжение[B]
0.2367,2.5684
0.2372,2.5684
0.2377,2.5684
0.2383,2.5732
0.2388,2.5684
0.2393,2.5732
0.2398,2.5732
0.2404,2.5732
0.2409,2.5732
0.2414,2.5732
0.2419,2.5684
0.2425,2.5635
0.2430,2.5732
0.2435,2.5635
0.2440,2.5635
0.2446,2.5732
0.2451,2.5635
0.2456,2.5635
0.2461,2.5635
0.2467,2.5684
0.2472,2.5732
0.2477,2.5732
0.2482,2.5732
0.2488,2.5732
0.2493,2.5732
0.2498,2.5684
0.2503,2.5684
0.2509,2.5732
0.2514,2.5684
0.2519,2.5684
0.2524,2.5732
0.2530,2.5732
0.2535,2.5732
0.2540,2.5684
0.2545,2.5732
0.2551,2.5732
0.2556,2.5732
0.2561,2.5732
0.2566,2.5684
0.2572,2.5732
0.2577,2.5684
0.2582,2.5635
0.2587,2.5684
0.2593,2.5732
0.2598,2.5732
0.2603,2.5635
0.2609,2.5732
0.2615,2.5684
0.2620,2.5732
0.2626,2.5684
0.2631,2.5684
0.2637,2.5732
0.2643,2.5684
0.2648,2.5732
0.2654,2.5635
0.2659,2.5732
0.2664,2.5732
0.2669,2.5684
0.2675,2.5732
0.2680,2.5732
0.2685,2.5684
0.2690,2.5684
0.2696,2.5635
0.2701,2.5635
0.2706,2.5732
0.2712,2.5684
0.2717,2.5684
0.2723,2.5732
0.2728,2.5684
0.2734,2.5684
0.2739,2.5732
0.2745,2.5732
0.2750,2.5684
0.2755,2.5684
0.2761,2.5684
0.2766,2.5684
0.2771,2.5732
0.2776,2.5732
0.2782,2.5732
0.2787,2.5732
0.2792,2.5684
0.2798,2.5732
0.2803,2.5684
0.2808,2.5684
0.2813,2.5635
0.2819,2.5684
0.2824,2.5684
0.2829,2.5732
0.2834,2.5684
0.2840,2.5684
0.2845,2.5684
0.2850,2.5732
0.2855,2.5684
0.2861,2.5684
0.2866,2.5684
0.2871,2.5732
0.2877,2.5684
0.2882,2.5684
0.2887,2.5732
0.2892,2.5732
0.2898,2.5684
0.2903,2.5732
0.2908,2.5732
0.2913,2.5635
0.2919,2.5586
0.2924,2.5684
0.2929,2.5732
0.2934,2.5635
0.2940,2.5684
0.2945,2.5684
0.2950,2.5635
0.2955,2.5635
0.2961,2.5684
0.2966,2.5586
0.2971,2.5684
0.2976,2.5732
0.2982,2.5684
0.2987,2.5684
0.2992,2.5684
0.2997,2.5635
0.3003,2.5684
