Время[c], Напряжение[В]
0.3435,2.4902
0.3440,2.4902
0.3445,2.4951
0.3451,2.4854
0.3456,2.4951
0.3461,2.4902
0.3466,2.4805
0.3472,2.4805
0.3477,2.4902
0.3482,2.4902
0.3487,2.4902
0.3492,2.4902
0.3498,2.4902
0.3503,2.4902
0.3508,2.4805
0.3513,2.4951
0.3519,2.4902
0.3524,2.4902
0.3529,2.4902
0.3534,2.4902
0.3540,2.4854
0.3545,2.4902
0.3550,2.4805
0.3555,2.4902
0.3560,2.4902
0.3566,2.4951
0.3571,2.4951
0.3576,2.4902
0.3581,2.4902
0.3587,2.4951
0.3592,2.4902
0.3597,2.4902
0.3602,2.4951
0.3607,2.4805
0.3613,2.4902
0.3618,2.4902
0.3623,2.4854
0.3628,2.4902
0.3634,2.4902
0.3639,2.4902
0.3644,2.4854
0.3649,2.4805
0.3655,2.4854
0.3660,2.4854
0.3665,2.4902
0.3670,2.4902
0.3676,2.4854
0.3681,2.4902
0.3686,2.4902
0.3691,2.4902
0.3697,2.4902
0.3702,2.4902
0.3707,2.4902
0.3712,2.4902
0.3717,2.4854
0.3723,2.4805
0.3728,2.4805
0.3733,2.4951
0.3738,2.4902
0.3744,2.4902
0.3749,2.4805
0.3754,2.4951
0.3759,2.4951
0.3765,2.4951
0.3770,2.4951
0.3775,2.4854
0.3780,2.4854
0.3785,2.4902
0.3791,2.4902
0.3796,2.4854
0.3801,2.4902
0.3806,2.4902
0.3812,2.4805
0.3817,2.4854
0.3822,2.4854
0.3827,2.4902
0.3832,2.4902
0.3838,2.4902
0.3843,2.4854
0.3848,2.4951
0.3853,2.4951
0.3859,2.4951
0.3864,2.4854
0.3869,2.4854
0.3874,2.4805
0.3880,2.4854
0.3885,2.4902
0.3890,2.4902
0.3895,2.4902
0.3900,2.4902
0.3906,2.4854
0.3911,2.4902
0.3916,2.4902
0.3921,2.4902
0.3927,2.4854
0.3932,2.4902
0.3937,2.4902
0.3942,2.4902
0.3948,2.4902
0.3953,2.4902
0.3958,2.4805
0.3963,2.4854
0.3968,2.4902
0.3974,2.4902
0.3979,2.4854
